,NN,NN.1,NN.2,UU,UU.1,UU.2,pval.UU,padj.UU
SPU_016802,-1.9673957052457,-1.97541384747942,-1.97562539904207,-1.97537895184769,-1.97461161985886,-1.97359440565897,0.879380974083601,NA
SPU_001114,0.737418122850186,0.75564543102966,0.787616423150958,0.699490962327583,0.723368422765454,0.704217541228367,0.117556310104525,NA
SPU_017127,-0.399396393433544,-0.399417592169368,-0.345834170449061,-0.380268571063694,-0.376643338427818,-0.397199530427956,0.902203251267533,NA
SPU_017128,7.84200877345078,7.66472045887792,7.78279264360049,7.63972895277647,7.5735495758011,7.47233708792649,0.039333000962828,0.184865310420907
ENSRNA022746508,-1.49826430268091,-1.49829834864166,-1.49867784127237,-1.46953708880636,-1.49685926936313,-1.49503453553527,0.625825156402792,NA
SPU_023838,1.3969804708616,1.39666158732824,1.37554978995593,1.34115375880253,1.36859841439728,1.38060408485361,0.543778803936462,0.803596273111046
SPU_010035,5.7620956665453,5.75960953933843,5.88670601730606,5.73689522082856,5.79757283651967,5.82820188759019,0.866906945340016,0.958566523160503
ENSRNA022746505,0,0,0,0,0,0,NA,NA
SPU_001332,8.62087415323134,8.53829104068416,8.64809627155312,8.42530492234947,8.40006667623144,8.24230666562533,0.00573453881904061,0.0475671656224581
SPU_010036,2.63080867840918,2.64764186023105,2.78080766985449,2.5770224429357,2.6126272540778,2.63710961719934,0.229667922300019,0.538078302984968
ENSRNA022746499,-1.97538761524872,-1.96744075510849,-1.97561718338662,-1.97537176530616,-1.97460763754139,-1.97359467102343,0.879380974083601,NA
SPU_027030,0,0,0,0,0,0,NA,NA
SPU_001333,1.31253444861489,1.29358470030979,1.25439756596055,1.34932912743561,1.32362978646934,1.31414429152755,0.342911251368936,0.657485953989937
SPU_017211,0.231702050201032,0.231601499486515,0.211579480366314,0.270205221622861,0.213486541344438,0.267977335043674,0.412595979554373,NA
SPU_009849,11.5432113362674,11.5972577412921,11.595848763345,11.327335721789,11.2936358211914,11.1928167320191,5.00513580727019e-06,0.000197006821084888
SPU_020555,-1.49824550252391,-1.48397923197021,-1.49865762518721,-1.48391684862956,-1.49684527994516,-1.49502679388247,0.927440144536816,NA
SPU_025521,1.51515677850426,1.49681163145018,1.51130149087454,1.49729521557363,1.52894180728597,1.44874809388153,0.747793074795903,0.91032476286304
SPU_025520,8.8431685675479,8.91621218343283,8.74664076723488,8.92055642669138,9.04396365972064,9.27461416050223,0.00979264041360404,0.0699598306850888
SPU_025459,1.7281488563159,1.66989768203202,1.7776811182583,1.70931548220278,1.78238844673331,1.78219205977409,0.556452438267851,0.811586165765691
SPU_025806,5.97256450874535,6.24318464391444,6.18374409517181,5.83274128155627,5.55215331375698,5.48134222826195,5.87879950310609e-05,0.00140086200498822
SPU_006634,6.0628055535121,6.06728905741553,6.01389311414167,5.92326975151196,5.98549408050112,5.66865418377868,0.117932233596336,0.375273889228026
SPU_022699,1.96497081637561,1.94736696119998,1.9084343509453,1.89470770576224,1.90677430876494,1.8743206106811,0.350803461668061,0.66419791021971
SPU_006635,7.63763668314623,7.63390463239608,7.67042960490955,7.59343776859537,7.71726957804593,7.59406597024699,0.907224751460063,0.971104921641789
SPU_023603,5.54963452136228,5.3314519722821,5.47254020044875,5.68896296946432,5.66929408044972,5.77160747580893,0.0188799289409186,0.110554328059283
SPU_023604,5.3071939446222,5.30494117471642,5.18901619102379,5.26861865038205,5.00594163697811,5.32688343470097,0.598237810053428,0.835489780173776
SPU_007235,2.12859573497684,2.10997464775857,2.10660087258305,2.19919676658137,2.18466888953729,2.14181394285723,0.274630101963153,0.589210445584411
SPU_007236,0,0,0,0,0,0,NA,NA
SPU_007234,6.93158503249645,6.96290254977885,6.99462366171471,6.86663253002328,6.69788760301314,6.69934329101629,0.0471153239925748,0.207877873298322
SPU_007233,5.24675338282494,5.46029597166367,5.36116945940268,5.15713110825514,5.27293378861228,5.28382742653207,0.256914827708318,0.570480775049049
SPU_002656,5.08286173746369,4.93287419748807,5.14722700953307,5.00728373880428,4.98194259674382,4.95093258657475,0.459478875330372,0.748004818207741
SPU_002657,5.80117888797258,5.75421174923203,5.59408347542107,5.92663049328935,5.73772106833055,5.99379946651013,0.13048398603418,0.397215536467595
SPU_002658,0.872044355838816,0.891385936298279,0.926428548095186,0.983942690227075,0.896599963665702,0.903739294923882,0.434441393710079,NA
SPU_002659,1.08348923556381,1.04642159665061,1.07982587823028,1.02774713623003,1.01082598676255,1.06574261735965,0.373724603396769,NA
SPU_002655,9.5838216391719,9.5705823420955,9.56245917509009,9.84860026526772,9.94764058045914,10.1377946342034,8.41447400393984e-07,4.6152643064805e-05
SPU_002654,3.88033908148857,3.85003028775343,3.8231967700377,3.82199042969119,3.84852961860521,3.88794531469287,0.988864009933685,0.997311673422712
SPU_002660,8.23734072720845,8.12106923558996,8.1693444307412,8.11199470949603,8.11407332803396,8.1266182655834,0.488231507078408,0.76688264365277
SPU_015568,7.33129737404483,7.35268908073575,7.30452483897885,7.39177002698305,7.32029237549594,7.29150657551238,0.938521555946922,0.980360310389865
SPU_015569,1.44426680660905,1.44405285432476,1.40319353902127,1.50190111658813,1.43086101747805,1.56617458747673,0.144185227962309,0.421232927984507
SPU_015570,-1.48395918844153,-1.48399306446352,-1.49864836997203,-1.49820848634263,-1.49683887537568,-1.49502324961763,0.679463387271998,NA
SPU_002661,0.0503941982082165,0.0502334646715619,0.0107813962475393,0.011173026503978,0.0124566434760856,0.0669456965107049,0.830847159729958,NA
SPU_015571,0,0,0,0,0,0,NA,NA
SPU_013393,6.79467069792427,6.66019796498792,6.4428118073646,6.90958351144882,6.76370823557345,6.66087497773197,0.218413173941463,0.525046918010992
SPU_006396,5.26563102701114,5.03538744993478,5.03869641027834,5.08637439362388,5.3830293166268,5.06182743552302,0.556505501502161,0.811599708334531
SPU_002662,9.01170926870622,9.00899526445997,8.96650689572867,8.91849303884783,8.85523968859784,8.95181056907895,0.261320696073877,0.575712939336138
SPU_002663,3.74419687857602,3.78939611167187,3.76277602641162,3.79138294034249,3.91738854014297,3.77931456847437,0.447507241722965,0.738765516856817
SPU_012141,2.32481712451103,2.32438436450945,2.44740784439792,2.34278308289943,2.30245814173109,2.27184996125761,0.327461188650085,0.64402567334343
SPU_013394,-1.49871151423426,-1.4987483333477,-1.49915873687029,-1.4831625067758,-1.48167390632653,-1.49521867219611,0.56101797282291,NA
SPU_002021,0,0,0,0,0,0,NA,NA
SPU_018510,9.78106064637551,9.78334929274843,9.80670762042998,9.79880694188012,9.89940521566824,9.89997358099835,0.288107808161235,0.603188708425389
SPU_013588,5.41646670664625,5.29410203598429,5.4030790932164,5.01884691927151,5.13179356092065,4.8685341723555,0.001227981208504,0.0148524634258534
SPU_025027,7.17955509375314,7.20372610560364,7.45731732125866,7.32252426267496,7.16755351125059,7.04290276899667,0.364273343975979,0.674382217292858
SPU_003157,6.30470188541625,6.41016518077187,6.30730161093946,6.47582493427809,6.52425422526775,6.73230971495222,0.0277624052014999,0.144331808757882
SPU_023901,-1.97538761524872,-1.96744075510849,-1.97561718338662,-1.97537176530616,-1.97460763754139,-1.97359467102343,0.879380974083601,NA
SPU_007388,1.92858548301754,1.83351226682052,1.81227860294983,1.85358404951872,2.00861579729338,1.92850400282118,0.223583142620847,0.531138887884146
SPU_002013,6.4314509222359,6.48680107865693,6.60271122738761,6.50507038850704,6.39029146297168,6.24236202471508,0.269919022422828,0.584377993308047
SPU_007386,7.51203773881673,7.43894718790477,7.39951854123703,7.74583205848402,7.74396431861608,7.78771786478851,0.000807478088442386,0.0109030125867687
SPU_007387,8.72384202206562,8.80169040145939,8.68903979421118,9.092641785397,8.93530619584273,9.14722874712191,0.000143314985673308,0.00279087869684607
SPU_025032,6.35440439826296,6.5747106431623,6.4480379188613,6.41389619141727,6.44398835149426,6.64815542861657,0.708885288399622,0.89284403750817
SPU_002012,9.75590492830602,9.99250586057822,9.85512398270751,9.90049600983648,10.0763862782357,10.1894838712614,0.0361980097898782,0.174622665494289
SPU_002011,10.3822824921223,10.4421508490162,10.449325349638,10.4693359413456,10.436465416686,10.4878608949984,0.553416458023033,0.809315710230213
SPU_025033,0.321942589833239,0.321906098054614,0.461760727881834,0.341475872583902,0.323511407870695,0.325711219659763,0.274034390603225,NA
SPU_009911,9.24400819587919,9.4651352521486,9.34643377502024,9.32808254243008,9.36537777663361,9.70488758706092,0.228751415627992,0.536880933577332
SPU_002010,-0.000441243373514574,-0.000471095305683875,-0.000799699588611927,0.0576897507844415,0.0454100115116024,0.0291138826672762,0.0870971888673313,NA
SPU_026942,1.46971972830291,1.48837921372825,1.57202486671597,1.50733139367035,1.53917761501382,1.48442110494049,0.992778790073677,0.998464607257299
SPU_002020,0,0,0,0,0,0,NA,NA
SPU_026943,5.71452516466883,5.90264557972524,5.75811479537992,5.54609388768086,5.55783589748534,5.50750749934827,0.0160010812283446,0.0983991733303687
SPU_026944,13.7968531388012,13.8360781399478,13.7878660582926,13.5438869860194,13.6549211399069,13.821602212046,0.0936088127123483,0.323952544124365
SPU_026941,1.96594195627098,1.96547367222271,1.88929043771362,1.85322059410575,1.96566911871398,1.96621054261467,0.85097885509979,0.951009524063838
ENSRNA022743907,-1.97538761524872,-1.96744075510849,-1.97561718338662,-1.97537176530616,-1.97460763754139,-1.97359467102343,0.879380974083601,NA
SPU_000855,-0.677490613488652,-0.677508119575162,-0.641436870241656,-0.658344999352372,-0.654869676567564,-0.674740903931261,0.919620928121384,NA
SPU_026883,-1.97530850416975,-1.97532654000993,-1.96792602117922,-1.97529337890764,-1.97456418808034,-1.97359753573851,0.879380974083601,NA
SPU_001093,0.409895579878305,0.409855827822427,0.409418221710476,0.468067015167886,0.498952295335697,0.440457612663748,0.0365309693882889,NA
SPU_021893,4.13162629375882,3.92649728860807,4.07561003283259,3.91333241636162,3.94073938282195,3.78482612050581,0.081638192042403,0.297933648584029
SPU_022833,6.43986506953126,6.38539119635238,6.51898790187683,6.35063486107367,6.16472560517069,6.12674181998761,0.0368460899392018,0.176744703239673
SPU_023684,1.54014456413879,1.57778758283536,1.59252780291066,1.57828924391649,1.61073381519605,1.6061216622005,0.558003151661877,0.812760875916055
SPU_006127,3.63769628318387,3.70379716641473,3.72397206618235,3.67252101488756,3.74636730806828,4.02835597725294,0.153873180338195,0.435652854350915
SPU_020944,4.7535670529938,4.54375095649567,4.45925671693777,4.73272717657239,4.721528753364,4.47258409702516,0.613964251278727,0.843999437323903
SPU_025536,4.34785941759841,4.58043482079623,4.23571483104396,4.19265219788145,4.22301215313859,4.2677432658501,0.0951199933299538,0.327227603700875
SPU_020674,-1.9673957052457,-1.97541384747942,-1.97562539904207,-1.97537895184769,-1.97461161985886,-1.97359440565897,0.879380974083601,NA
SPU_027231,7.67288965864887,7.51112903696161,7.57730750457867,7.53299563739314,7.36479901691862,7.39871716543946,0.11822379922772,0.375621424829939
SPU_021212,8.935582844794,8.85526890457603,8.89344966343153,8.75348272694841,8.82775231221063,8.61864986075938,0.0635256767602505,0.252978275100689
SPU_005112,1.79198506123068,1.79164360022371,1.75226851351731,1.81034861594313,1.78576871619937,1.80275245610739,0.677906972656014,0.877541875302956
SPU_005663,0,0,0,0,0,0,NA,NA
SPU_021209,6.44277838445157,6.4044604860627,7.50631928852245,6.47111547219139,6.449502814981,8.38431189635684,NA,NA
SPU_011739,0,0,0,0,0,0,NA,NA
SPU_017979,-0.0692804199798102,-0.0499632405461914,-0.0509871007661735,-0.0119644542419275,-0.0680903875949229,-0.0402599493260648,0.558952718736764,NA
SPU_014853,-1.03899491465947,-1.05716724723792,-1.03989587252057,-1.03893179249772,-1.05574910691573,-1.05331246190889,0.857021509881997,NA
SPU_002469,-1.9673957052457,-1.97541384747942,-1.97562539904207,-1.97537895184769,-1.97461161985886,-1.97359440565897,0.879380974083601,NA
SPU_020397,7.37359185864507,7.61950180359346,7.33574652480014,7.75613912738847,7.79180223084573,7.59224725599708,0.0110306156524812,0.0762193751700888
SPU_020396,2.56302717020525,2.47589266990682,2.48881997212001,2.59638885488846,2.49322097903825,2.49270424657098,0.771079291658601,0.921017112802187
