gene,pval
SPU_017128,-3.23569139331787
SPU_023838,-0.609212725225536
SPU_010035,-0.14282363744276
SPU_001332,-5.16124794679714
SPU_010036,-1.47112082945261
SPU_001333,1.07028360766039
SPU_009849,-12.2050460112448
SPU_025521,-0.290628977252394
SPU_025520,4.62612415363479
SPU_025459,0.586173577744912
SPU_025806,-9.74157289004275
SPU_006634,-2.13764511104151
SPU_022699,-1.04752915060787
SPU_006635,-0.0973650630253925
SPU_023603,3.96965588199442
SPU_023604,-0.513766928408887
SPU_007235,1.29233017052311
SPU_007234,-3.05515698071387
SPU_007233,-1.35901065871048
SPU_002656,-0.777662311408861
SPU_002657,2.03650477213092
SPU_002655,13.9881423322284
SPU_002654,0.0111984594086349
SPU_002660,-0.716965585870135
SPU_015568,0.0634494547090442
SPU_015569,1.93665650069423
SPU_013393,1.52136671668579
SPU_006396,0.586078222417545
SPU_002662,-1.34200690532923
SPU_002663,0.804062558777011
SPU_012141,-1.11638573886812
SPU_018510,1.24442053499858
SPU_013588,-6.70238375189542
SPU_025027,-1.00985074817456
SPU_003157,3.5840725043914
SPU_007388,1.49797193132655
SPU_002013,-1.30963328192032
SPU_007386,7.12159463829141
SPU_007387,8.85046565306806
SPU_025032,0.344061559052502
SPU_002012,3.31875113984191
SPU_002011,0.591644472239506
SPU_009911,1.47511938630799
SPU_026942,-0.00724740906523676
SPU_026943,-4.13509898225399
SPU_026944,-2.36863074702096
SPU_026941,-0.161367997838737
SPU_021893,-2.50545808677318
SPU_022833,-3.30100577346098
SPU_023684,0.583390668477211
SPU_006127,1.87162652013188
SPU_020944,0.487818575203082
SPU_025536,-2.35261609672204
SPU_027231,-2.13517584717354
SPU_021212,-2.75631109638527
SPU_005112,0.388745208927639
SPU_020397,4.50708063109293
SPU_020396,0.259964068088589
SPU_020395,0.684161826770306
SPU_020829,-0.47910713385155
SPU_000794,1.73043759957329
SPU_000793,10.7863425179329
SPU_000795,2.51404032126135
SPU_000796,-2.58644093133902
SPU_000792,-1.28492489235977
SPU_000799,-10.565888182487
SPU_020053,0.312975682235831
SPU_020073,2.32157258445205
SPU_020054,0.156920816609002
SPU_020055,0.442615368721853
SPU_020056,-0.642935781802552
SPU_020072,-0.887161465867823
SPU_020057,-1.11979593462431
SPU_020058,3.35915489096553
SPU_020071,12.6467408371962
SPU_006065,0.630808916888151
SPU_020070,1.59482172677154
SPU_008827,0.217067605002652
SPU_008828,0.217447396612877
SPU_020059,1.38726500039707
SPU_020060,-2.54951016374429
SPU_020061,1.85607689746989
SPU_020069,-0.870001743969405
SPU_022053,-0.932258792093752
SPU_022869,-1.9376534672647
SPU_020068,-0.826459510933804
SPU_002234,-1.14072467361059
SPU_014966,6.98431353440416
SPU_014969,1.08569535773929
SPU_014967,-1.03432026753093
SPU_020062,0.490592945786105
SPU_020067,2.15718503584024
SPU_011667,-0.502230540660598
SPU_014968,1.24961651096278
SPU_028286,0.26879565981032
SPU_020066,-2.36264164809723
SPU_016849,0.740526715854961
SPU_020063,2.07531325224622
SPU_020065,-0.204762069562035
SPU_016848,-0.0983069739592969
SPU_016850,2.44748490738749
SPU_016847,4.6376150762029
SPU_020974,-3.58310064204736
SPU_011194,3.54943266626825
SPU_011202,-1.55654112836524
SPU_011201,0.0459675238577627
SPU_011195,-0.831583160776207
SPU_011200,-0.244273706899587
SPU_011196,-1.64538685515763
SPU_010715,0.706634285886098
SPU_011197,2.03593779834545
SPU_011198,0.328960862979988
SPU_011199,-0.339200758288111
SPU_021406,2.65170000918486
SPU_019319,-1.18230635331432
SPU_019318,1.74081166672696
SPU_019317,8.72055052247511
SPU_025578,4.44749740748276
