baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SPU_016802	0.149878622309138	-0.619228028348938	4.0804728567969	-0.151753987854001	0.879380974083601	NA
SPU_001114	1.6369856579221	-2.86460047992024	1.83028295966418	-1.56511345133533	0.117556310104526	NA
SPU_017127	0.757229287345626	-0.306626329257095	2.49536038208599	-0.122878575559002	0.902203251267533	NA
SPU_017128	204.14733956839	-0.365820509567028	0.177523649876882	-2.06068605405947	0.0393330009628285	0.184865310420894
ENSRNA022746508	0.300952510658915	1.97741946618455	4.05531880328465	0.4876113474933	0.625825156402792	NA
SPU_023838	2.60591043675251	-0.763441844811321	1.25750445691117	-0.607108659230183	0.543778803936463	0.803596273111047
SPU_010035	55.6865559129052	-0.0482409385328431	0.287853352797518	-0.167588593511283	0.866906945340022	0.958566523160503
ENSRNA022746505	0	NA	NA	NA	NA	NA
SPU_001332	360.248335244229	-0.409595012965002	0.148265052679513	-2.76258636517923	0.00573453881904097	0.0475671656224611
SPU_010036	6.32821138797811	-1.02497464238722	0.853281789252129	-1.2012147162845	0.229667922300019	0.538078302984969
ENSRNA022746499	0.149169087667274	-0.619228028348939	4.0804728567969	-0.151753987854001	0.879380974083601	NA
SPU_027030	0	NA	NA	NA	NA	NA
SPU_001333	2.51744733758532	1.26725112060596	1.33615854564261	0.948428706113232	0.342911251368937	0.657485953989939
SPU_017211	1.22066593087861	1.62887936336374	1.98805336153708	0.819333824170779	0.412595979554374	NA
SPU_009849	2783.45857768599	-0.466351357084324	0.102167590249663	-4.56457234573821	5.00513580727373e-06	0.000197006821085027
SPU_020555	0.299645342996732	0.342555588262408	3.76161871458201	0.0910660048915863	0.927440144536816	NA
SPU_025521	2.79359017314808	-0.398724055027501	1.24000357670782	-0.32155072978588	0.747793074795903	0.91032476286304
SPU_025520	505.258580848348	0.408730576305166	0.158234622761447	2.58306664604853	0.00979264041360286	0.0699598306850803
SPU_025459	3.45137591520856	0.696802695670393	1.18479886967466	0.588118974034579	0.556452438267852	0.811586165765692
SPU_025806	62.2759543089183	-1.34551116125356	0.334902242348958	-4.01762362597615	5.87879950310669e-05	0.00140086200498837
SPU_006634	62.5565244094544	-0.460880533441592	0.29477263766888	-1.56351192256624	0.117932233596335	0.375273889228021
SPU_022699	3.74352717594681	-0.994439520335584	1.06581505424362	-0.933031970580782	0.350803461668063	0.664197910219709
SPU_006635	199.820785968026	-0.0198067852523038	0.169957273040736	-0.116539792019118	0.907224751460056	0.97110492164179
SPU_023603	49.1160290872554	0.741921350582153	0.315994492119378	2.3478932990448	0.0188799289409181	0.11055432805928
SPU_023604	38.123673033038	-0.196662190259365	0.373218133487013	-0.526936321185497	0.59823781005343	0.835489780173775
SPU_007235	4.47437328219802	1.04750521199893	0.958848225942803	1.0924619597319	0.274630101963154	0.589210445584413
SPU_007236	0	NA	NA	NA	NA	NA
SPU_007234	116.891822579707	-0.424603655891208	0.2138778888187	-1.98526204946383	0.0471153239925726	0.207877873298323
SPU_007233	39.6537863648566	-0.393678645212353	0.347247089936069	-1.13371330278054	0.256914827708324	0.570480775049061
SPU_002656	32.4920845276961	-0.278566471791686	0.376591189771177	-0.739705227732352	0.459478875330376	0.748004818207749
SPU_002657	56.8344419777356	0.461171266084944	0.304967900562352	1.51219608763597	0.130483986034181	0.397215536467599
SPU_002658	1.8938743791171	1.22816072555924	1.5713134068858	0.781614107139418	0.434441393710079	NA
SPU_002659	2.08445461138605	-1.33052149541942	1.49577757462467	-0.889518279984429	0.37372460339677	NA
SPU_002655	898.948295612742	0.648049929183781	0.131570373971235	4.92550039665815	8.41447400393835e-07	4.61526430647968e-05
SPU_002654	14.5044969051164	0.0074443477996254	0.533364100913685	0.0139573469359351	0.988864009933682	0.997311673422701
SPU_002660	283.696170858369	-0.103844484991592	0.149820854567574	-0.693124367040336	0.48823150707841	0.766882643652758
SPU_015568	161.181909194042	0.0140258218460272	0.181850750352923	0.0771282044138223	0.938521555946918	0.980360310389865
SPU_015569	2.943345915929	1.95901485820518	1.34144039042929	1.46038159591889	0.144185227962309	0.421232927984509
SPU_015570	0.299047709976412	-1.53770611854	3.72149776795534	-0.413195496657476	0.679463387271998	NA
SPU_002661	1.06828487486665	-0.465534708667554	2.17931471887308	-0.213615181247562	0.830847159729958	NA
SPU_015571	0	NA	NA	NA	NA	NA
SPU_013393	105.85778588347	0.30645282475129	0.248995076293588	1.23075857287215	0.218413173941463	0.525046918010994
SPU_006396	36.1264047838304	0.232401309480195	0.395213494079502	0.588039915037529	0.556505501502158	0.811599708334527
SPU_002662	495.989875594757	-0.142954337889538	0.127265657382121	-1.12327505181002	0.261320696073877	0.575712939336138
SPU_002663	14.035870079522	0.418504603465643	0.550970331740905	0.759577384399794	0.447507241722966	0.738765516856819
SPU_012141	5.01938614193589	-0.935925691092907	0.955766987841425	-0.979240445630656	0.327461188650086	0.644025673343428
SPU_013394	0.332777109916873	2.07840725306538	3.57526149112339	0.581330137173356	0.561017972822911	NA
SPU_002021	0	NA	NA	NA	NA	NA
SPU_018510	910.403852457706	0.11955802898905	0.112548325133022	1.06228172518554	0.288107808161201	0.603188708425368
SPU_013588	37.6176684435046	-1.23351635978568	0.381621882807759	-3.23229986370321	0.00122798120850403	0.0148524634258587
SPU_025027	151.380295903158	-0.197396743064874	0.217576437281812	-0.907252391531714	0.364273343975978	0.674382217292856
SPU_003157	89.7966770359682	0.54038924742096	0.24556143539125	2.20062749902062	0.0277624052015017	0.144331808757891
SPU_023901	0.149169087667274	-0.619228028348939	4.0804728567969	-0.151753987854001	0.879380974083601	NA
SPU_007388	3.9304799332954	1.45751147233671	1.19757201357621	1.21705538858098	0.223583142620848	0.531138887884148
SPU_002013	87.5125006557949	-0.27713680111908	0.251200578102276	-1.10324905783554	0.269919022422833	0.584377993308058
SPU_007386	197.867657544843	0.568949361782566	0.169824548842673	3.35021859713371	0.000807478088442455	0.0109030125867696
SPU_007387	485.436310789454	0.532765131789628	0.140113741500745	3.80237602738483	0.00014331498567341	0.00279087869684805
SPU_025032	90.1503395820879	0.0932892837852025	0.249868445655465	0.373353600293475	0.70888528839963	0.892844037508175
SPU_002012	1007.9886629843	0.29710053927967	0.141834669542878	2.09469617151577	0.036198009789879	0.174622665494293
SPU_002011	1394.35630141803	0.0612955776386175	0.103426541135304	0.592648434007181	0.553416458023043	0.809315710230213
SPU_025033	1.2823487284728	-2.507039012873	2.29200546338415	-1.09381895153573	0.274034390603225	NA
SPU_009911	688.128753166319	0.19526714640517	0.162238422661419	1.20358139090566	0.228751415627992	0.536880933577332
SPU_002010	1.05112520262012	3.71115623706838	2.16910877808428	1.71091292173278	0.0870971888673318	NA
SPU_026942	2.85433212343905	-0.0111756315233064	1.23479890599403	-0.00905056804719944	0.992778790073677	0.998464607257301
SPU_002020	0	NA	NA	NA	NA	NA
SPU_026943	51.4098393623526	-0.735736598160833	0.305425456732591	-2.40889088300519	0.0160010812283451	0.0983991733303398
SPU_026944	13755.7903218072	-0.192261997284436	0.114669578398902	-1.67666088921695	0.0936088127123511	0.323952544124375
SPU_026941	3.92913756090903	-0.212505820698127	1.13113453872435	-0.187869624189694	0.850978855099791	0.951009524063839
ENSRNA022743907	0.149169087667274	-0.619228028348939	4.0804728567969	-0.151753987854001	0.879380974083601	NA
SPU_000855	0.615745228202708	0.272125576390825	2.69668277316677	0.100911230308066	0.919620928121385	NA
SPU_026883	0.141484059142918	-0.619228028348939	4.0804728567969	-0.151753987854001	0.879380974083601	NA
SPU_001093	1.41572691179495	4.13931561619715	1.97961730076724	2.09096758984319	0.0365309693882893	NA
SPU_021893	15.7358274477616	-0.98987372061049	0.568481615273305	-1.74125898536683	0.0816381920424031	0.297933648584029
SPU_022833	81.3717528716066	-0.535077918583818	0.256329006013812	-2.08746535128758	0.0368460899392001	0.176744703239676
SPU_023684	3.0492384885914	0.679073568262804	1.1592043151456	0.585810076265556	0.558003151661878	0.812760875916056
SPU_006127	14.3044811257907	0.871141136648442	0.610905593453705	1.42598323862697	0.153873180338195	0.435652854350915
SPU_020944	24.9198095635475	0.238527298620291	0.472871698566722	0.504422868493227	0.613964251278728	0.8439994373239
SPU_025536	20.30400298106	-0.843634292641349	0.505476907455079	-1.66898681264944	0.0951199933299548	0.327227603700878
SPU_020674	0.149878622309138	-0.619228028348938	4.0804728567969	-0.151753987854001	0.879380974083601	NA
SPU_027231	183.227333613262	-0.287097152357207	0.183768930121079	-1.56227253523241	0.118223799227717	0.375621424829929
SPU_021212	452.355374701327	-0.258985740929825	0.139577763809377	-1.85549426972855	0.0635256767602454	0.252978275100716
SPU_005112	3.48372698097175	0.443999961747624	1.06905266981264	0.415320941881598	0.677906972656015	0.877541875302961
SPU_005663	0	NA	NA	NA	NA	NA
SPU_021209	181.539862174442	1.05290572593096	1.23114976440225	0.855221481882155	NA	NA
SPU_011739	0	NA	NA	NA	NA	NA
SPU_017979	0.977176640255476	1.25607643791376	2.14935182310702	0.584397781884782	0.558952718736764	NA
SPU_014853	0.441838936781513	-0.544831541003999	3.0240372278289	-0.180166942387531	0.857021509881997	NA
SPU_002469	0.149878622309138	-0.619228028348938	4.0804728567969	-0.151753987854001	0.879380974083601	NA
SPU_020397	194.638681821474	0.496162589108446	0.195206843599618	2.54172743106337	0.0110306156524815	0.0762193751700912
SPU_020396	5.74273065651036	0.251902373500013	0.865752706142706	0.290963426060017	0.7710792916586	0.921017112802187
SPU_020395	7.71863754698156	0.492827404915626	0.73842234827502	0.667405863415277	0.504512921630442	0.779038698355441
SPU_021672	0	NA	NA	NA	NA	NA
SPU_020829	42.157216621073	-0.170960234857141	0.344128782530555	-0.496791444179654	0.619336129273474	0.846850047222998
SPU_000794	393.523481739475	0.190199914965878	0.140950926491012	1.34940521287036	0.177206847359645	0.468618164689316
SPU_023770	0	NA	NA	NA	NA	NA
SPU_000793	534.574684140538	0.568946828412594	0.133636547987698	4.25741937351575	2.06800204812992e-05	0.000611462359972576
SPU_000795	1857.5657831608	0.235714467555135	0.135060214471097	1.74525465162487	0.0809405518729032	0.296259998257009
SPU_000796	1007.36470975778	-0.192801732767007	0.108394209212187	-1.77870879051839	0.0752875172614137	0.281459020469721
SPU_000797	0.582613461282567	-1.11663858256503	2.72015711632465	-0.410505178492698	0.681435405520895	NA
SPU_000798	1.34308551709249	2.95107325201784	1.96080509857596	1.50503140478422	0.132316002868935	NA
SPU_000792	5.65061332880886	-0.971125952323452	0.892720717799451	-1.08782728232999	0.276671362984812	0.590854786127799
SPU_000799	132.026591670162	-0.870627050685077	0.206905185537531	-4.20785515076979	2.57806026910136e-05	0.000728919448695515
SPU_000800	0.38557098278637	2.23354838345499	3.38440893322267	0.659952277495078	0.509284454673868	NA
SPU_013064	0.149878622309138	-0.619228028348938	4.0804728567969	-0.151753987854001	0.879380974083601	NA
SPU_020053	2446.10061613629	0.0330017582414521	0.0960918552935915	0.343439702986492	0.73126769514802	0.902354353058382
SPU_020073	1405.51740911002	0.193531590353859	0.117005309687164	1.65404109327434	0.098119163544282	0.334319274572219
SPU_020054	874.283333592069	0.0205428118597658	0.112235261761084	0.18303349176924	0.854771739862934	0.952336251011049
SPU_020055	243.034979414923	0.0772570166238147	0.166355297230401	0.464409717694858	0.642354229106717	0.858649149427459
SPU_020056	10.2232598741356	-0.411565878039408	0.648633625624032	-0.634512090925678	0.525746678635746	0.792230974171185
SPU_020072	52.4461178355972	-0.245011877889412	0.29854388758238	-0.82068964758759	0.411823069072935	0.712333259707328
SPU_020057	8.84522217480554	-0.710276509951506	0.723664522999912	-0.98149969685828	0.326346383825954	0.643220881325683
